text,author
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe
"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey
"You only live once, but if you do it right, once is enough.",Mae West
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous
It is better to be hated for what you are than to be loved for what you are not.,Autumn Leaves
It does not do to dwell on dreams and forget to live.,Harry Potter and the Sorcerer's Stone
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain
Life is what happens to us while we are making other plans.,Allen Saunders
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",The Long Dark Tea-Time of the Soul
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe
Everything you can imagine is real.,Pablo Picasso
Sometimes the questions are complicated and the answers are simple.,Dr. Seuss
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Happy Birthday to You!
I'm not afraid of death; I just don't want to be there when it happens.,Woody Allen
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw
Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.,I Am the Messenger
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein
Some infinities are bigger than other infinities.,The Fault in Our Stars
Reality continues to ruin my life.,The Complete Calvin and Hobbes
Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!,Bob Marley
Things change. And friends leave. Life doesn't stop for anybody.,The Perks of Being a Wallflower
The only way out of the labyrinth of suffering is to forgive.,Looking for Alaska
"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.""After all this time?""""Always,"" said Snape.",Harry Potter and the Deathly Hallows
"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",The Intern
"He has achieved success who has lived well, laughed often, and loved much;Who has enjoyed the trust of pure women, the respect of intelligent men and the love of little children;Who has filled his niche and accomplished his task;Who has never lacked appreciation of Earth's beauty or failed to express it;Who has left the world better than he found it,Whether an improved poppy, a perfect poem, or a rescued soul;Who has always looked for the best in others and given them the best he had;Whose life was an inspiration;Whose memory a benediction.","More Heart Throbs Volume Two in Prose and Verse Dear to the American People And by them contributed as a Supplement to the original $10,000 Prize Book HEART THROBS"
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix - Axis: Bold as Love
"We are what we pretend to be, so we must be careful about what we pretend to be.",Mother Night
But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain
"I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.",The Unabridged Journals of Sylvia Plath
"Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.",At First Sight
"The one you love and the one who loves you are never, ever the same person.",Invisible Monsters
"I speak to everyone in the same way, whether he is the garbage man or the president of the university.",Albert Einstein
How wonderful it is that nobody need wait a single moment before starting to improve the world.,"Anne Frank's Tales from the Secret Annex: A Collection of Her Short Stories, Fables, and Lesser-Known Writings"
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,Isaac Asimov
"We're all human, aren't we? Every human life is worth the same, and worth saving.",Harry Potter and the Deathly Hallows
"If you don't know where you're going, any road'll take you there",George Harrison
"All God does is watch us and kill us when we get boring. We must never, ever be boring.",Invisible Monsters
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,Henry Wadsworth Longfellow
"This life’s hard, but it’s harder if you’re stupid.",The Friends of Eddie Coyle
Sometimes I can hear my bones straining under the weight of all the lives I'm not living.,Extremely Loud & Incredibly Close
"Death ends a life, not a relationship.",Tuesdays with Morrie
"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",Margaret Mead
"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.",Gustave Flaubert
You cannot find peace by avoiding life.,The Hours
"Life will break you. Nobody can protect you from that, and living alone won't either, for solitude will also break you with its yearning. You have to love. You have to feel. It is the reason you are here on earth. You are here to risk your heart. You are here to be swallowed up. And when it happens that you are broken, or betrayed, or left, or hurt, or death brushes near, let yourself sit by an apple tree and listen to the apples falling all around you in heaps, wasting their sweetness. Tell yourself you tasted as many as you could.",The Painted Drum
"I wanted a perfect ending. Now I've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle, and end. Life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next.Delicious Ambiguity.",Gilda Radner
Where there is love there is life.,Mahatma Gandhi
May you live every day of your life.,Jonathan Swift
"There are two basic motivating forces: fear and love. When we are afraid, we pull back from life. When we are in love, we open to all that life has to offer with passion, excitement, and acceptance. We need to learn to love ourselves first, in all our glory and our imperfections. If we cannot love ourselves, we cannot fully open to our ability to love others or our potential to create. Evolution and all hopes for a better world rest in the fearlessness and open-hearted vision of people who embrace life.",John Lennon
Get busy living or get busy dying.,Different Seasons
"If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.",E.B. White
"These woods are lovely, dark and deep,But I have promises to keep,And miles to go before I sleep,And miles to go before I sleep.",Stopping by Woods on a Snowy Evening
"To love. To be loved. To never forget your own insignificance. To never get used to the unspeakable violence and the vulgar disparity of life around you. To seek joy in the saddest places. To pursue beauty to its lair. To never simplify what is complicated or complicate what is simple. To respect strength, never power. Above all, to watch. To try and understand. To never look away. And never, never to forget.",The Cost of Living
"All the world is made of faith, and trust, and pixie dust.",Peter Pan
"I DON'T CARE!"" Harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""I'VE HAD ENOUGH, I'VE SEEN ENOUGH, I WANT OUT, I WANT IT TO END, I DON'T CARE ANYMORE!""""You do care,"" said Dumbledore. He had not flinched or made a single move to stop Harry demolishing his office. His expression was calm, almost detached. ""You care so much you feel as though you will bleed to death with the pain of it.",Harry Potter and the Order of the Phoenix
"There will come a time when all of us are dead. All of us. There will come a time when there are no human beings remaining to remember that anyone ever existed or that our species ever did anything. There will be no one left to remember Aristotle or Cleopatra, let alone you. Everything that we did and built and wrote and thought and discovered will be forgotten and all of this will have been for naught. Maybe that time is coming soon and maybe it is millions of years away, but even if we survive the collapse of our sun, we will not survive forever. There was time before organisms experienced consciousness, and there will be time after. And if the inevitability of human oblivion worries you, I encourage you to ignore it. God knows that’s what everyone else does.",The Fault in Our Stars
"We have to dare to be ourselves, however frightening or strange that self may prove to be.",May Sarton
Anyone who lives within their means suffers from a lack of imagination.,Oscar Wilde
"If my life is going to mean anything, I have to live it myself.",The Lightning Thief
Life is a book and there are a thousand pages I have not yet read.,Clockwork Princess
"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",John Lennon
Life can only be understood backwards; but it must be lived forwards.,Søren Kierkegaard
